sourced_precinct_id,vf_precinct_id,sourced_county,vf_precinct_county,sourced_precinct_name,vf_precinct_name,sourced_precinct_number,vf_precinct_code,sourced_ward,vf_precinct_ward,vf_precinct_count,polling_location_ids
330010018,22215,ADA,ADA,1515,Ada - 1515,1515,1515,,,424,440010015
330010065,2234,ADA,ADA,1912,Ada - 1912,1912,1912,,,700,440010058
330010145,22197,ADA,ADA,1405,Ada - 1405,1405,1405,,,730,440010134
330010045,22240,ADA,ADA,1708,Ada - 1708,1708,1708,,,902,440010040
330010002,22191,ADA,ADA,1919,Ada - 1919,1919,1919,,,878,440010002
330010043,2283,ADA,ADA,1817,Ada - 1817,1817,1817,,,769,440010038
330010133,22537,ADA,ADA,2005,Ada - 2005,2005,2005,,,1029,440010123
330010128,22447,ADA,ADA,1417,Ada - 1417,1417,1417,,,685,440010118
330010007,22188,ADA,ADA,2105,Ada - 2105,2105,2105,,,495,440010006
330010058,22185,ADA,ADA,1612,Ada - 1612,1612,1612,,,598,440010053
330010039,2217,ADA,ADA,1908,Ada - 1908,1908,1908,,,527,440010034
330010004,2223,ADA,ADA,1902,Ada - 1902,1902,1902,,,754,440010003
330010119,22140,ADA,ADA,2003,Ada - 2003,2003,2003,,,741,440010109
330010105,229,ADA,ADA,1607,Ada - 1607,1607,1607,,,1059,440010095
330010038,22144,ADA,ADA,1713,Ada - 1713,1713,1713,,,955,440010033
330010111,22424,ADA,ADA,2210,Ada - 2210,2210,2210,,,1002,440010101
330010050,2282,ADA,ADA,1613,Ada - 1613,1613,1613,,,816,440010045
330010144,22562,ADA,ADA,1401,Ada - 1401,1401,1401,,,495,440010133
330010063,22158,ADA,ADA,1802,Ada - 1802,1802,1802,,,940,440010056
330010067,22120,ADA,ADA,1809,Ada - 1809,1809,1809,,,1032,440010060
330010088,2280,ADA,ADA,2006,Ada - 2006,2006,2006,,,857,440010079
330010074,22156,ADA,ADA,1903,Ada - 1903,1903,1903,,,327,440010066
330010012,2242,ADA,ADA,1916,Ada - 1916,1916,1916,,,725,440010010
330010069,2233,ADA,ADA,1906,Ada - 1906,1906,1906,,,905,440010062
330010143,22426,ADA,ADA,1404,Ada - 1404,1404,1404,,,709,440010132
330010076,22681,ADA,ADA,1904,Ada - 1904,1904,1904,,,682,440010068
330010118,22476,ADA,ADA,2001,Ada - 2001,2001,2001,,,515,440010108
330010001,2231,ADA,ADA,1701,Ada - 1701,1701,1701,,,742,440010001
330010072,22104,ADA,ADA,1905,Ada - 1905,1905,1905,,,711,440010064
330010132,22151,ADA,ADA,1418,Ada - 1418,1418,1418,,,1176,440010122
330010056,2272,ADA,ADA,1913,Ada - 1913,1913,1913,,,790,440010051
330010107,22171,ADA,ADA,1608,Ada - 1608,1608,1608,,,751,440010097
330010075,22194,ADA,ADA,1917,Ada - 1917,1917,1917,,,648,440010067
330010127,22668,ADA,ADA,2203,Ada - 2203,2203,2203,,,888,440010117
330010014,22212,ADA,ADA,1808,Ada - 1808,1808,1808,,,890,440010012
330010021,22504,ADA,ADA,2011,Ada - 2011,2011,2011,,,728,440010018
330010115,22568,ADA,ADA,2202,Ada - 2202,2202,2202,,,725,440010105
330010053,22182,ADA,ADA,1910,Ada - 1910,1910,1910,,,1181,440010048
330010077,2228,ADA,ADA,2108,Ada - 2108,2108,2108,,,631,440010069
330010054,222,ADA,ADA,1911,Ada - 1911,1911,1911,,,811,440010049
330010034,2293,ADA,ADA,1807,Ada - 1807,1807,1807,,,1079,440010029
330010027,2232,ADA,ADA,1603,Ada - 1603,1603,1603,,,1274,440010022
330010085,22127,ADA,ADA,1815,Ada - 1815,1815,1815,,,923,440010077
330010113,22561,ADA,ADA,2208,Ada - 2208,2208,2208,,,926,440010103
330010059,2227,ADA,ADA,1611,Ada - 1611,1611,1611,,,818,440010054
330010028,22443,ADA,ADA,2116,Ada - 2116,2116,2116,,,627,440010023
330010137,22611,ADA,ADA,2106,Ada - 2106,2106,2106,,,913,440010127
330010009,2262,ADA,ADA,1918,Ada - 1918,1918,1918,,,1082,440010008
330010029,22398,ADA,ADA,1816,Ada - 1816,1816,1816,,,517,440010024
330010100,22531,ADA,ADA,1408,Ada - 1408,1408,1408,,,800,440010090
330010108,22278,ADA,ADA,2207,Ada - 2207,2207,2207,,,764,440010098
330010068,22176,ADA,ADA,2104,Ada - 2104,2104,2104,,,750,440010061
330010099,22251,ADA,ADA,1406,Ada - 1406,1406,1406,,,768,440010089
330010103,22253,ADA,ADA,1403,Ada - 1403,1403,1403,,,227,440010093
330010024,22228,ADA,ADA,1602,Ada - 1602,1602,1602,,,1024,440010020
330010070,22173,ADA,ADA,1907,Ada - 1907,1907,1907,,,887,440010062
330010129,22382,ADA,ADA,2102,Ada - 2102,2102,2102,,,875,440010119
330010032,22165,ADA,ADA,1505,Ada - 1505,1505,1505,,,672,440010027
330010060,22273,ADA,ADA,1510,Ada - 1510,1510,1510,,,748,440010055
330010125,22269,ADA,ADA,2012,Ada - 2012,2012,2012,,,775,440010115
330010097,22202,ADA,ADA,1407,Ada - 1407,1407,1407,,,666,440010087
330010109,2251,ADA,ADA,2211,Ada - 2211,2211,2211,,,727,440010099
330010005,22687,ADA,ADA,1804,Ada - 1804,1804,1804,,,105,440010004
330010096,22157,ADA,ADA,1411,Ada - 1411,1411,1411,,,815,440010086
330010026,2256,ADA,ADA,1506,Ada - 1506,1506,1506,,,783,440010021
330010048,22206,ADA,ADA,2112,Ada - 2112,2112,2112,,,956,440010043
330010124,22458,ADA,ADA,1419,Ada - 1419,1419,1419,,,710,440010114
330010081,2230,ADA,ADA,1614,Ada - 1614,1614,1614,,,852,440010073
330010090,2291,ADA,ADA,1813,Ada - 1813,1813,1813,,,807,440010081
330010134,22438,ADA,ADA,2010,Ada - 2010,2010,2010,,,778,440010124
330010136,22265,ADA,ADA,2004,Ada - 2004,2004,2004,,,787,440010126
330010013,2250,ADA,ADA,1704,Ada - 1704,1704,1704,,,675,440010011
