precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330010001,ADA,1701,1701,,440010001,Idaho Elections Division,
330010002,ADA,1919,1919,,440010002,Idaho Elections Division,
330010003,ADA,1920,1920,,440010002,Idaho Elections Division,
330010004,ADA,1902,1902,,440010003,Idaho Elections Division,
330010005,ADA,1804,1804,,440010004,Idaho Elections Division,
330010006,ADA,2113,2113,,440010005,Idaho Elections Division,
330010007,ADA,2105,2105,,440010006,Idaho Elections Division,
330010008,ADA,1504,1504,,440010007,Idaho Elections Division,
330010009,ADA,1918,1918,,440010008,Idaho Elections Division,
330010010,ADA,1803,1803,,440010009,Idaho Elections Division,
330010011,ADA,2109,2109,,440010009,Idaho Elections Division,
330010012,ADA,1916,1916,,440010010,Idaho Elections Division,
330010013,ADA,1704,1704,,440010011,Idaho Elections Division,
330010014,ADA,1808,1808,,440010012,Idaho Elections Division,
330010015,ADA,1812,1812,,440010012,Idaho Elections Division,
330010016,ADA,1609,1609,,440010013,Idaho Elections Division,
330010017,ADA,1914,1914,,440010014,Idaho Elections Division,
330010018,ADA,1515,1515,,440010015,Idaho Elections Division,
330010019,ADA,2115,2115,,440010016,Idaho Elections Division,
330010020,ADA,2107,2107,,440010017,Idaho Elections Division,
330010021,ADA,2011,2011,,440010018,Idaho Elections Division,
330010022,ADA,2013,2013,,440010018,Idaho Elections Division,
330010023,ADA,1604,1604,,440010019,Idaho Elections Division,
330010024,ADA,1602,1602,,440010020,Idaho Elections Division,
330010025,ADA,1503,1503,,440010021,Idaho Elections Division,
330010026,ADA,1506,1506,,440010021,Idaho Elections Division,
330010027,ADA,1603,1603,,440010022,Idaho Elections Division,
330010028,ADA,2116,2116,,440010023,Idaho Elections Division,
330010029,ADA,1816,1816,,440010024,Idaho Elections Division,
330010030,ADA,1711,1711,,440010025,Idaho Elections Division,
330010031,ADA,1507,1507,,440010026,Idaho Elections Division,
330010032,ADA,1505,1505,,440010027,Idaho Elections Division,
330010033,ADA,1712,1712,,440010028,Idaho Elections Division,
330010034,ADA,1807,1807,,440010029,Idaho Elections Division,
330010035,ADA,1705,1705,,440010030,Idaho Elections Division,
330010036,ADA,1901,1901,,440010031,Idaho Elections Division,
330010037,ADA,1909,1909,,440010032,Idaho Elections Division,
330010038,ADA,1713,1713,,440010033,Idaho Elections Division,
330010039,ADA,1908,1908,,440010034,Idaho Elections Division,
330010040,ADA,1610,1610,,440010035,Idaho Elections Division,
330010041,ADA,1513,1513,,440010036,Idaho Elections Division,
330010042,ADA,1606,1606,,440010037,Idaho Elections Division,
330010043,ADA,1817,1817,,440010038,Idaho Elections Division,
330010044,ADA,1702,1702,,440010039,Idaho Elections Division,
330010045,ADA,1708,1708,,440010040,Idaho Elections Division,
330010046,ADA,1502,1502,,440010041,Idaho Elections Division,
330010047,ADA,1615,1615,,440010042,Idaho Elections Division,
330010048,ADA,2112,2112,,440010043,Idaho Elections Division,
330010049,ADA,2111,2111,,440010044,Idaho Elections Division,
330010050,ADA,1613,1613,,440010045,Idaho Elections Division,
330010051,ADA,1818,1818,,440010046,Idaho Elections Division,
330010052,ADA,1811,1811,,440010047,Idaho Elections Division,
330010053,ADA,1910,1910,,440010048,Idaho Elections Division,
330010054,ADA,1911,1911,,440010049,Idaho Elections Division,
330010055,ADA,1501,1501,,440010050,Idaho Elections Division,
330010056,ADA,1913,1913,,440010051,Idaho Elections Division,
330010057,ADA,1707,1707,,440010052,Idaho Elections Division,
330010058,ADA,1612,1612,,440010053,Idaho Elections Division,
330010059,ADA,1611,1611,,440010054,Idaho Elections Division,
330010060,ADA,1510,1510,,440010055,Idaho Elections Division,
330010061,ADA,1511,1511,,440010055,Idaho Elections Division,
330010062,ADA,1801,1801,,440010056,Idaho Elections Division,
330010063,ADA,1802,1802,,440010056,Idaho Elections Division,
330010064,ADA,1703,1703,,440010057,Idaho Elections Division,
330010065,ADA,1912,1912,,440010058,Idaho Elections Division,
330010066,ADA,1714,1714,,440010059,Idaho Elections Division,
330010067,ADA,1809,1809,,440010060,Idaho Elections Division,
330010068,ADA,2104,2104,,440010061,Idaho Elections Division,
330010069,ADA,1906,1906,,440010062,Idaho Elections Division,
330010070,ADA,1907,1907,,440010062,Idaho Elections Division,
