sourced_precinct_id,sourced_county,sourced_precinct_name,sourced_precinct_number,sourced_ward,polling_location_ids
330270083,CANYON,77-13,77-13,,440270033
330270077,CANYON,44,44,,440270032
330270036,CANYON,26-11,26-11,,440270016
330830051,TWIN FALLS,XTF06,XTF06,,440830012
330130004,BLAINE,17,17,,440130003
330270058,CANYON,53-12,53-12,,440270025
330830038,TWIN FALLS,XMU01,XMU01,,440830010
330570009,LATAH,GRADE11,GRADE11,,440570009
330270026,CANYON,10-10,10-10,,440270011
330270030,CANYON,32-11,32-11,,440270013
330270018,CANYON,39-11,39-11,,440270008
330830021,TWIN FALLS,XFI01,XFI01,,440830005
330270081,CANYON,61-12,61-12,,440270032
330830012,TWIN FALLS,XBU05,XBU05,,440830003
330270105,CANYON,36-11,36-11,,440270044
330270008,CANYON,08-10,08-10,,440270004
330710001,ONEIDA,7,7,,440710001
330270061,CANYON,69-13,69-13,,440270026
330050015,BANNOCK,29,29,,440050010
330430007,FREMONT,14,14,,440430006
330270075,CANYON,27-11,27-11,,440270077
330270048,CANYON,60-12,60-12,,440270022
330830036,TWIN FALLS,XKI03,XKI03,,440830009
330270012,CANYON,14-10,14-10,,440270006
330270076,CANYON,30-11,30-11,,440270031
330830006,TWIN FALLS,XBU02,XBU02,,440830002
330150005,BOISE,90,90,,440150005
330650009,MADISON,20,20,,440650009
330830028,TWIN FALLS,XHO01,XHO01,,440830007
330270079,CANYON,48,48,,440270032
330270097,CANYON,51-12,51-12,,440270040
330270035,CANYON,35-11,35-11,,440270015
330570007,LATAH,ALT,ALT,,440570007
330830085,TWIN FALLS,XTF16,XTF16,,440830022
330270062,CANYON,80-13,80-13,,440270069
330830066,TWIN FALLS,XTF13,XTF13,,440830016
330830077,TWIN FALLS,XTF02,XTF02,,440830020
330830050,TWIN FALLS,XOT22,XOT22,,440830013
330270070,CANYON,50-12,50-12,,440270029
330270049,CANYON,62-12,62-12,,440270022
330830042,TWIN FALLS,XOT25,XOT25,,440830011
330270072,CANYON,29-11,29-11,,440270030
330270084,CANYON,78-13,78-13,,440270034
330830011,TWIN FALLS,XBU04,XBU04,,440830003
330270042,CANYON,40-11,40-11,,440270019
330270034,CANYON,21,21,,440270015
330270086,CANYON,74-13,74-13,,440270035
330830069,TWIN FALLS,XOT23,XOT23,,440830017
330570032,LATAH,PRIVATE,PRIVATE,,440570016
330830022,TWIN FALLS,XFI02,XFI02,,440830005
330830035,TWIN FALLS,XKI01,XKI01,,440830009
330830054,TWIN FALLS,XTF09,XTF09,,440830012
330830026,TWIN FALLS,XHA01,XHA01,,440830006
330270011,CANYON,6,6,,440270006
330830075,TWIN FALLS,XTF01,XTF01,,440830019
330830086,TWIN FALLS,XTF17,XTF17,,440830022
330830014,TWIN FALLS,XBU07,XBU07,,440830003
330270024,CANYON,11-10,11-10,,440270054
330830023,TWIN FALLS,XFI03,XFI03,,440830005
330270055,CANYON,45,45,,440270024
330270067,CANYON,25,25,,440270028
330270009,CANYON,22,22,,440270005
330270040,CANYON,41-11,41-11,,440270018
330270044,CANYON,79-13,79-13,,440270020
