vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22208,CANYON,,Canyon - 15,15,810
22207,CANYON,,Canyon - 07,7,592
22180,CANYON,,Canyon - 09,9,1056
22490,KOOTENAI,,Kootenai - 58,58,553
22706,CASSIA,,Declo,111,389
22907,ONEIDA,,Oneida - 006,6,37
22546,CAMAS,,Camas - 01,1,235
22595,CLEARWATER,,Orofino 2,2,327
22522,OWYHEE,,N Homedale,1,433
22215,ADA,,Ada - 1515,1515,424
22528,BINGHAM,,Unknown Precinct 26,26,16
22919,ELMORE,,Camas,CA #1,11
22658,CANYON,,Canyon - 39,39,836
22824,BONNER,,East Priest River,EAPR,445
22401,CANYON,,Canyon - 58,58,678
22662,LATAH,,Genesee 21,21GEN,491
2234,ADA,,Ada - 1912,1912,700
22685,CANYON,,Canyon - 38,38,301
22628,KOOTENAI,,Kootenai - 18,18,956
22172,GEM,,05 West Emmett,05-WE,512
22508,LEMHI,,Depot,2,599
22291,BANNOCK,,Pocatello 18,18,410
22507,PAYETTE,,Payette - 005,5,832
22487,TETON,,Teton - 006,6,455
22786,BONNEVILLE,,Bonneville - 54,54,173
22266,VALLEY,,McCall,4,1047
22348,TWIN FALLS,,Twin Falls 01,TF001,617
22560,ONEIDA,,Oneida - 003,3,333
22197,ADA,,Ada - 1405,1405,730
22240,ADA,,Ada - 1708,1708,902
22351,BANNOCK,,Pocatello 27,27,246
22638,BONNER,,Hope,HOPE,389
22479,TETON,,Teton - 005,5,404
22691,CANYON,,Canyon - 52,52,825
22798,ADAMS,,Adams - 006,6,32
22742,WASHINGTON,,South Weiser,3,213
22692,IDAHO,,Kamiah,17,503
22191,ADA,,Ada - 1919,1919,878
2283,ADA,,Ada - 1817,1817,769
22467,MINIDOKA,,Emerson,2,513
22537,ADA,,Ada - 2005,2005,1029
22447,ADA,,Ada - 1417,1417,685
22788,KOOTENAI,,Kootenai - 32,32,591
22322,FRANKLIN,,Preston 4,4,210
22188,ADA,,Ada - 2105,2105,495
22185,ADA,,Ada - 1612,1612,598
22174,ELMORE,,Mt. Home #6,MH #6,420
22577,LATAH,,Bovill 32,32BOV,93
2217,ADA,,Ada - 1908,1908,527
22808,ELMORE,,King Hill,KH #1,111
22703,VALLEY,,Cascade,2,338
22792,IDAHO,,Riggins,22,298
22135,TETON,,Teton - 007,7,520
22468,BONNEVILLE,,Bonneville - 46,46,519
2223,ADA,,Ada - 1902,1902,754
22140,ADA,,Ada - 2003,2003,741
22770,BONNEVILLE,,Bonneville - 04,4,325
22599,CANYON,,Canyon - 36,36,544
22466,BANNOCK,,McCammon 65,65,446
22836,LATAH,,Deary 19,19DEA,421
22702,ELMORE,,Mt. Home #9,MH #9,597
22882,IDAHO,,Grangeville 5,14,428
22664,KOOTENAI,,Kootenai - 69,69,574
22913,BONNER,,Lakeview,LAKV,110
22434,BONNEVILLE,,Bonneville - 37,37,365
22412,BANNOCK,,Pocatello 20,20,380
22645,BONNER,,Spirit Valley,SPVY,484
22379,JEROME,,Northeast,6,649
22342,FREMONT,,Fremont - 001,1,452
229,ADA,,Ada - 1607,1607,1059
2254,BONNEVILLE,,Bonneville - 18,18,526
22776,FREMONT,,Fremont - 013,13,103
22875,NEZ PERCE,,Nez Perce - 25,25,322
22707,CANYON,,Canyon - 70,70,661
22211,BONNEVILLE,,Bonneville - 48,48,705
22375,FREMONT,,Fremont - 006,6,253
22579,NEZ PERCE,,Nez Perce - 22,22,490
22323,FRANKLIN,,Preston 3,3,250
22170,CANYON,,Canyon - 62,62,894
22407,CLEARWATER,,Ahsahka,11,183
22765,MINIDOKA,,Pioneer,6,443
22421,VALLEY,,West Mountain,7,352
22572,BENEWAH,,College,3,315
22239,TWIN FALLS,,Kimberly 2,KI002,410
22570,NEZ PERCE,,Nez Perce - 09,9,521
22812,MINIDOKA,,Heyburn #2,4,505
22294,KOOTENAI,,Kootenai - 01,1,608
22725,OWYHEE,,Three Creek,12,21
22805,WASHINGTON,,Pioneer,9,340
22432,CLARK,,Clark - 001,1,100
22859,KOOTENAI,,Kootenai - 10,10,261
22878,SHOSHONE,,Shoshone - 02,2,269
22369,BANNOCK,,Chubbuck 54,54,313
22414,POWER,,Power - 003,3,536
22319,BANNOCK,,Pocatello 07,7,372
22785,BONNEVILLE,,Bonneville - 55,55,254
22581,KOOTENAI,,Kootenai - 20,20,915
22317,BONNEVILLE,,Bonneville - 19,19,480
22297,KOOTENAI,,Kootenai - 40,40,943
22612,CANYON,,Canyon - 42,42,875
22216,BANNOCK,,Pocatello 01,1,395
2285,VALLEY,,Roseberry,6,991
