vf_precinct_id,vf_precinct_county,vf_precinct_name,vf_precinct_code,vf_precinct_ward,vf_precinct_count
22208,CANYON,Canyon - 15,15,,810
22207,CANYON,Canyon - 07,7,,592
22528,BINGHAM,Unknown Precinct 26,26,,16
22401,CANYON,Canyon - 58,58,,678
22685,CANYON,Canyon - 38,38,,301
22599,CANYON,Canyon - 36,36,,544
22707,CANYON,Canyon - 70,70,,661
22612,CANYON,Canyon - 42,42,,875
22286,CANYON,Canyon - 76,76,,1033
22660,CANYON,Canyon - 69,69,,798
2279,CANYON,Canyon - 71,71,,549
22270,CANYON,Canyon - 79,79,,851
22102,CANYON,Canyon - 82,82,,702
22160,CANYON,Canyon - 80,80,,924
22493,CANYON,Canyon - 53,53,,731
22750,CANYON,Canyon - 26,26,,780
22459,CANYON,Canyon - 16,16,,1035
22280,CANYON,Canyon - 75,75,,736
2252,CANYON,Canyon - 14,14,,884
22283,CANYON,Canyon - 72,72,,676
22567,CANYON,Canyon - 19,19,,619
22199,CANYON,Canyon - 02,2,,358
22395,CANYON,Canyon - 17,17,,722
22101,CANYON,Canyon - 77,77,,822
22152,CANYON,Canyon - 78,78,,1079
22902,IDAHO,Big Butte,1,,35
22276,CANYON,Canyon - 81,81,,948
22255,CANYON,Canyon - 74,74,,635
22189,CANYON,Canyon - 61,61,,854
22743,CANYON,Canyon - 34,34,,311
22912,IDAHO,Idaho - 027,27,,23
22100,CANYON,Canyon - 73,73,,952
