sourced_precinct_id,vf_precinct_id,sourced_county,vf_precinct_county,sourced_precinct_name,vf_precinct_name,sourced_precinct_number,vf_precinct_code,sourced_ward,vf_precinct_ward,vf_precinct_count,polling_location_ids
330010010,222704,APPLING,APPLING,4A,04A,4A,04A,,4,214,440010010
330010008,222809,APPLING,APPLING,3B,03B,3B,03B,,3,191,440010008
330010007,222802,APPLING,APPLING,3A,03A,3A,03A,,3,149,440010007
330010014,221514,APPLING,APPLING,5A,05A,5A,05A,,5,569,440010014
330010013,222595,APPLING,APPLING,4D,04D,4D,04D,,4,515,440010013
330010012,221540,APPLING,APPLING,4C,04C,4C,04C,,4,218,440010012
330010006,222191,APPLING,APPLING,2,2,2,2,,2,1045,440010006
330010003,222615,APPLING,APPLING,1B,01B,1B,01B,,1,657,440010003
330010004,222184,APPLING,APPLING,1C,01C,1C,01C,,1,433,440010004
330010001,222807,APPLING,APPLING,1A,01A,1A,01A,,1,134,440010001
330010009,221422,APPLING,APPLING,3C,03C,3C,03C,,3,851,440010009
330010005,222805,APPLING,APPLING,1D,01D,1D,01D,,1,74,440010005
330010015,222231,APPLING,APPLING,5B,05B,5B,05B,,5,308,440010005
330010011,222777,APPLING,APPLING,4B,04B,4B,04B,,4,233,440010011
330010016,222539,APPLING,APPLING,5C,05C,5C,05C,,5,195,440010015
330010002,222806,APPLING,APPLING,1A1,1A1,1A1,1A1,,1,150,440010002
330030004,222760,ATKINSON,ATKINSON,WILLACOOCHEE,0004 - Pearson City,,4,,2,514,440030004
330030003,222602,ATKINSON,ATKINSON,PEARSON COUNTY,0001 - Pearson County,,1,,3,877,440030003
330050001,222379,BACON,BACON,DOUGLAS,Douglas,,DOUGL,,2,1855,440050001
330050004,222761,BACON,BACON,WARE,WARE,,WARE,,5,278,440050004
330050005,221778,BACON,BACON,WARNOCK,Warnock,,WARNO,,6,189,440050005
330050003,222089,BACON,BACON,TAYLOR,Taylor,,TAYLO,,6,444,440050003
330050002,222750,BACON,BACON,NEW LACY,New Lacy,,NEW L,,4,567,440050002
330070005,221961,BAKER,BAKER,NEWTON,Newton,,N,,LRG,552,440070005
330070003,222391,BAKER,BAKER,HOGGARDS MILL,Hoggards Mill,,H,,LRG,174,440070003
330070004,222552,BAKER,BAKER,MILFORD,Milford,,M,,LRG,153,440070004
330070001,222605,BAKER,BAKER,ANNA,Anna,,A,,LRG,86,440070001
330070002,222725,BAKER,BAKER,ELMODEL,Elmodel,,E,,LRG,218,440070002
330090014,22308,BALDWIN,BALDWIN,WEST HARDWICK,CTY2 - City Hall Annex,,CTY2,,2,395,440090014
330090013,221676,BALDWIN,BALDWIN,WEST BALDWIN,CTY1 - South Milledgeville,,CTY1,,5,1035,440090013
330090012,221481,BALDWIN,BALDWIN,SOUTH MILLEDGEVILLE,CTY6 - North Milledgeville,,CTY6,,5,1031,440090012
330090011,22513,BALDWIN,BALDWIN,SCOTTSBORO,318 - North Baldwin,,318,,5,1615,440090011
330090010,221578,BALDWIN,BALDWIN,NORTH MILLEDGEVILLE,CTY4 - Courthouse,,CTY4,,2,680,440090010
330090009,221144,BALDWIN,BALDWIN,NORTH BALDWIN,CTY5 - Fire Dept,,CTY5,,5,630,440090009
330110013,222613,BANKS,BANKS,WILMONTS,0004 - Bushville,,4,,1,325,440110013
330110012,222457,BANKS,BANKS,WASHINGTON,0009 - Hollingsworth,,9,,4,299,440110012
330110011,222392,BANKS,BANKS,POPLAR SPRINGS,0003 - Berlin,,3,,2,170,440110011
330110010,221949,BANKS,BANKS,HOMER,0005 - Columbia,,5,,5,166,440110010
330110009,22530,BANKS,BANKS,HOLLINGSWORTH,0001 - Anderson,,1,,1,629,440110009
330110008,222658,BANKS,BANKS,GROVE RIVER,0008 - Grove River,,8,,3,228,440110008
330130005,221689,BARROW,BARROW,5,5,5,5,,1,1914,440130005
330130008,222047,BARROW,BARROW,8,8,8,8,,2,1224,440130008
330130010,221041,BARROW,BARROW,10,10,10,10,,6,1417,440130010
330130011,221987,BARROW,BARROW,11,11,11,11,,4,1185,440130011
330130009,221346,BARROW,BARROW,9,9,9,9,,2,1389,440130009
330130015,221913,BARROW,BARROW,15,15,15,15,,6,1223,440130015
330130001,221694,BARROW,BARROW,1,1,1,1,,2,1357,440130001
330130004,221152,BARROW,BARROW,4,4,4,4,,4,1099,440130004
330130006,221805,BARROW,BARROW,6,6,6,6,,6,988,440130006
330130003,221056,BARROW,BARROW,3,3,3,3,,5,1289,440130003
330130014,222408,BARROW,BARROW,14,14,14,14,,4,592,440130014
330130002,221573,BARROW,BARROW,2,2,2,2,,5,1216,440130002
330130012,22779,BARROW,BARROW,12,12,12,12,,5,1175,440130012
330130016,221128,BARROW,BARROW,16,16,16,16,,3,2183,440130016
330130013,221670,BARROW,BARROW,13,13,13,13,,3,1191,440130013
330130007,222054,BARROW,BARROW,7,7,7,7,,1,1186,440130007
330150017,22960,BARTOW,BARTOW,ZENA DRIVE,04 - Cartersville West,,4,,,3000,440150017
330150016,221121,BARTOW,BARTOW,WOODLAND HIGH,11 - Mission Road,,11,,4,2386,440150016
330150015,22901,BARTOW,BARTOW,WHITE,06 - Center,,6,,1,1584,440150015
330150014,22506,BARTOW,BARTOW,TAYLORSVILLE,17 - Cassville,,17,,3,2418,440150014
330150013,22316,BARTOW,BARTOW,PINE LOG,07 - Emerson,,7,,2,1339,440150013
330150012,221559,BARTOW,BARTOW,MISSION ROAD,08 - Euharlee,,8,,4,1499,440150012
330150011,22382,BARTOW,BARTOW,KINGSTON,02 - Allatoona,,2,,2,2040,440150011
330150010,221771,BARTOW,BARTOW,FOLSOM,09 - Folsom,,9,,5,601,440150010
330170005,222793,BEN HILL,BEN HILL,WILLIAMSON MILL,3 - Williamson Mill,,3,,7,103,440170004
330170004,22105,BEN HILL,BEN HILL,WEST,2 - West,,2,,4,1853,440170002
330190007,222005,BERRIEN,BERRIEN,WEST BERRIEN,1157 - Nashville,,1157,,4,2805,440190001
330190006,222527,BERRIEN,BERRIEN,RAY CITY,1642 - Enigma,,1642,,5,630,440190007
